id_ag_num_a;id_ag_num_b;1;2;3;4;5;6;7;NO_x;NAME_x;LON_x;LAT_x;NO_y;NAME_y;LON_y;LAT_y;ID
10747;10746;38.0;38.0;38.0;38.0;38.0;0.0;0.0;10747;GRENOBLE, VALLIER - LIBERATION;5.716080188751221;45.18013000488281;10746;GRENOBLE, VALLIER - CATANE;5.705580234527588;45.18001937866211;940
10748;10336;193.0;147.0;147.0;193.0;147.0;101.0;60.0;10748;GRENOBLE, FLANDRIN - VALMY;5.744800090789795;45.187191009521484;10336;GRENOBLE, GRENOBLE HOTEL DE VILLE;5.737790107727051;45.187461853027344;941
10748;10571;192.0;146.0;146.0;192.0;146.0;100.0;59.0;10748;GRENOBLE, FLANDRIN - VALMY;5.744800090789795;45.187191009521484;10571;SAINT-MARTIN-D'HERES, PERI - BROSSOLETTE;5.751420021057129;45.18770980834961;942
10749;10546;79.0;79.0;79.0;79.0;79.0;36.0;15.0;10749;VARCES-ALLIERES-ET-RISSET, REPUBLIQUE;5.682980060577393;45.08634948730469;10546;VARCES-ALLIERES-ET-RISSET, L'ORIEL;5.683549880981445;45.08937072753906;943
10749;10567;84.0;84.0;84.0;84.0;84.0;36.0;15.0;10749;VARCES-ALLIERES-ET-RISSET, REPUBLIQUE;5.682980060577393;45.08634948730469;10567;VARCES-ALLIERES-ET-RISSET, PELISSIERE;5.675059795379639;45.07057189941406;944
10751;10438;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10751;VAULNAVEYS-LE-BAS, VAULNAVEYS-LE-BAS LE VILLAGE;5.800419807434082;45.105491638183594;10438;VAULNAVEYS-LE-BAS, CHEMIN DES COTTES;5.793260097503662;45.09397888183594;945
10751;10474;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10751;VAULNAVEYS-LE-BAS, VAULNAVEYS-LE-BAS LE VILLAGE;5.800419807434082;45.105491638183594;10474;VAULNAVEYS-LE-BAS, MAISON BLANCHE;5.80511999130249;45.11180877685547;946
10752;10371;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10752;VAULNAVEYS-LE-HAUT, VAULNAVEYS-LE-HAUT LE VILLAGE;5.810989856719971;45.11933898925781;10371;VAULNAVEYS-LE-HAUT, ECOLE JULES BRUANT;5.8144001960754395;45.12171936035156;947
10752;10485;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10752;VAULNAVEYS-LE-HAUT, VAULNAVEYS-LE-HAUT LE VILLAGE;5.810989856719971;45.11933898925781;10485;VAULNAVEYS-LE-HAUT, MARCHANDISES;5.807660102844238;45.114830017089844;948
10753;10641;40.0;40.0;40.0;40.0;40.0;14.0;0.0;10753;BERNIN, LES VARVOUX;5.859149932861328;45.264041900634766;10641;SAINT-NAZAIRE-LES-EYMES, LES RATZ;5.85122013092041;45.258331298828125;949
10754;10018;9.0;9.0;9.0;9.0;9.0;5.0;0.0;10754;VIZILLE, VENARIA;5.771629810333252;45.081871032714844;10018;VIZILLE, L'ALLIANCE;5.769000053405762;45.08184051513672;950
10754;10104;8.0;8.0;8.0;8.0;8.0;5.0;0.0;10754;VIZILLE, VENARIA;5.771629810333252;45.081871032714844;10104;VIZILLE, CAMPING;5.771269798278809;45.08592987060547;951
10757;10335;11.0;11.0;11.0;11.0;11.0;12.0;0.0;10757;LA TRONCHE, VERCORS;5.751029968261719;45.20064926147461;10335;LA TRONCHE, GRAND SABLON;5.75;45.199031829833984;952
10758;10285;6.0;6.0;6.0;6.0;6.0;6.0;0.0;10758;EYBENS, LE VERDERET;5.754280090332031;45.14693832397461;10285;EYBENS, EYBENS MAIRIE;5.749790191650391;45.14733123779297;953
10758;10414;138.0;138.0;138.0;138.0;138.0;98.0;51.0;10758;EYBENS, LE VERDERET;5.754280090332031;45.14693832397461;10414;EYBENS, LE BOURG;5.751160144805908;45.14781188964844;954
10758;10729;24.0;24.0;24.0;24.0;24.0;13.0;0.0;10758;EYBENS, LE VERDERET;5.754280090332031;45.14693832397461;10729;BRIE-ET-ANGONNES, TAVERNOLLES;5.770370006561279;45.13628005981445;955
10759;10155;216.0;216.0;216.0;216.0;216.0;142.0;77.0;10759;GRENOBLE, VERDUN - PREFECTURE;5.73144006729126;45.18830108642578;10155;GRENOBLE, CHAVANT;5.731770038604736;45.184661865234375;956
10759;10251;137.0;137.0;136.0;137.0;138.0;89.0;55.0;10759;GRENOBLE, VERDUN - PREFECTURE;5.73144006729126;45.18830108642578;10251;GRENOBLE, DOCTEUR MARTIN;5.727280139923096;45.18730926513672;957
10759;10254;216.0;216.0;216.0;216.0;216.0;142.0;77.0;10759;GRENOBLE, VERDUN - PREFECTURE;5.73144006729126;45.18830108642578;10254;GRENOBLE, HUBERT DUBEDOUT - MAISON DU TOURISME;5.728219985961914;45.19020080566406;958
10759;10529;118.0;118.0;118.0;118.0;118.0;77.0;42.0;10759;GRENOBLE, VERDUN - PREFECTURE;5.73144006729126;45.18830108642578;10529;GRENOBLE, MUTUALITE;5.736629962921143;45.190460205078125;959
10762;10029;15.0;15.0;15.0;15.0;15.0;5.0;0.0;10762;JARRIE, LE VERNET CROIX;5.739779949188232;45.096168518066406;10029;JARRIE, ANDRE MALRAUX;5.744170188903809;45.09461975097656;960
10762;10140;16.0;16.0;16.0;16.0;16.0;5.0;0.0;10762;JARRIE, LE VERNET CROIX;5.739779949188232;45.096168518066406;10140;JARRIE, LES CHARBONNAUX;5.742149829864502;45.10097122192383;961
10763;10152;6.0;6.0;6.0;6.0;6.0;6.0;0.0;10763;CLAIX, VERT SAPIN;5.678440093994141;45.125579833984375;10152;CLAIX, LES CHAUMES;5.674109935760498;45.1265983581543;962
10763;10573;6.0;6.0;6.0;6.0;6.0;6.0;0.0;10763;CLAIX, VERT SAPIN;5.678440093994141;45.125579833984375;10573;CLAIX, LES PEROUSES;5.679369926452637;45.12456130981445;963
10767;10022;449.0;449.0;449.0;449.0;449.0;314.0;191.0;10767;GRENOBLE, VICTOR HUGO;5.724989891052246;45.18938064575195;10022;GRENOBLE, ALSACE-LORRAINE;5.719299793243408;45.189109802246094;964
10767;10066;108.0;108.0;108.0;108.0;108.0;80.0;49.0;10767;GRENOBLE, VICTOR HUGO;5.724989891052246;45.18938064575195;10066;GRENOBLE, VICTOR HUGO - BELGRADE;5.725200176239014;45.19123077392578;965
10767;10254;449.0;449.0;449.0;449.0;449.0;314.0;191.0;10767;GRENOBLE, VICTOR HUGO;5.724989891052246;45.18938064575195;10254;GRENOBLE, HUBERT DUBEDOUT - MAISON DU TOURISME;5.728219985961914;45.19020080566406;966
