sous_ligne;id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
20_1_10376_10759_15_0.0;20;24;Gières Gare - Chamandier / Grenoble Verdun - Préfecture;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21_0_10411_10103_27_12650.0;21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;151.8;151.8;151.8;151.8;151.8;0.0;0.0
21_0_10682_10022_35_16614.0;21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;0.0;0.0;0.0;0.0;0.0;598.104;249.21
21_0_10682_10103_34_16187.0;21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;517.984;517.984;517.984;517.984;517.984;0.0;0.0
21_1_10103_10411_26_13639.0;21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;204.585;204.585;204.585;204.585;204.585;0.0;0.0
21_1_10103_10682_33_17176.0;21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;515.28;515.28;515.28;515.28;515.28;0.0;0.0
21_1_10216_10682_35_17315.0;21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;0.0;0.0;0.0;0.0;0.0;623.34;259.725
21_1_10631_10682_33_23868.0;21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;23.868;23.868;23.868;23.868;23.868;0.0;0.0
22_0_10311_10335_17_3239.0;22;41;La Tronche Grand Sablon / Corenc La Garenne;35.629;35.629;35.629;35.629;35.629;38.868;0.0
22_1_10119_10311_17_3042.0;22;41;La Tronche Grand Sablon / Corenc La Garenne;36.504;36.504;36.504;36.504;36.504;36.504;0.0
23_0_10255_10674_22_4045.0;23;42;Meylan Place de la Louisiane / Montbonnot-Saint-Martin Pré de l'Eau;36.405;36.405;36.405;36.405;36.405;0.0;0.0
23_0_10255_10674_23_5242.0;23;42;Meylan Place de la Louisiane / Montbonnot-Saint-Martin Pré de l'Eau;104.84;104.84;104.84;104.84;104.84;62.904;62.904
23_0_10725_10674_15_1420.0;23;42;Meylan Place de la Louisiane / Montbonnot-Saint-Martin Pré de l'Eau;1.42;1.42;1.42;1.42;1.42;0.0;0.0
23_1_10526_10523_21_3115.0;23;42;Meylan Place de la Louisiane / Montbonnot-Saint-Martin Pré de l'Eau;24.92;24.92;24.92;24.92;24.92;0.0;0.0
23_1_10526_10523_22_4312.0;23;42;Meylan Place de la Louisiane / Montbonnot-Saint-Martin Pré de l'Eau;86.24;86.24;86.24;86.24;86.24;51.744;51.744
24_0_10682_10196_9_876.0;24;44;Miribel-Lanchâtre Le Vernay / Le Gua Prélenfrey Eglise / Col de l'Arzelier / Le Gua Les Saillants;5.256;5.256;5.256;5.256;5.256;2.628;0.0
24_0_10682_10507_9_0.0;24;44;Miribel-Lanchâtre Le Vernay / Le Gua Prélenfrey Eglise / Col de l'Arzelier / Le Gua Les Saillants;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24_1_10196_10682_9_876.0;24;44;Miribel-Lanchâtre Le Vernay / Le Gua Prélenfrey Eglise / Col de l'Arzelier / Le Gua Les Saillants;4.38;4.38;4.38;4.38;4.38;1.752;0.0
24_1_10507_10682_9_599.0;24;44;Miribel-Lanchâtre Le Vernay / Le Gua Prélenfrey Eglise / Col de l'Arzelier / Le Gua Les Saillants;4.792;4.792;4.792;4.792;4.792;3.594;0.0
24_1_10682_10682_7_0.0;24;44;Miribel-Lanchâtre Le Vernay / Le Gua Prélenfrey Eglise / Col de l'Arzelier / Le Gua Les Saillants;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25_0_10322_10411_24_8342.0;25;45;Vif La Valonne / Varces-Allières-et-Risset Rond Point de l'Europe;16.684;16.684;8.342;16.684;16.684;0.0;0.0
25_0_10664_10411_22_7967.0;25;45;Vif La Valonne / Varces-Allières-et-Risset Rond Point de l'Europe;39.835;39.835;55.769;39.835;39.835;47.802;0.0
25_1_10411_10322_24_8342.0;25;45;Vif La Valonne / Varces-Allières-et-Risset Rond Point de l'Europe;8.342;8.342;8.342;8.342;8.342;0.0;0.0
25_1_10411_10538_32_10890.0;25;45;Vif La Valonne / Varces-Allières-et-Risset Rond Point de l'Europe;10.89;10.89;10.89;10.89;10.89;0.0;0.0
25_1_10411_10664_22_7967.0;25;45;Vif La Valonne / Varces-Allières-et-Risset Rond Point de l'Europe;47.802;47.802;47.802;47.802;47.802;47.802;0.0
26_0_10705_10322_13_5058.0;26;46;Varces-Allières-et-Risset Rond Point de l'Europe / Saint-Paul-de-Varces Place;35.406;35.406;35.406;35.406;35.406;0.0;0.0
26_0_10705_10664_11_4683.0;26;46;Varces-Allières-et-Risset Rond Point de l'Europe / Saint-Paul-de-Varces Place;23.415;23.415;23.415;23.415;23.415;32.781;0.0
26_1_10322_10705_13_5058.0;26;46;Varces-Allières-et-Risset Rond Point de l'Europe / Saint-Paul-de-Varces Place;40.464;40.464;40.464;40.464;40.464;0.0;0.0
26_1_10664_10705_11_4683.0;26;46;Varces-Allières-et-Risset Rond Point de l'Europe / Saint-Paul-de-Varces Place;23.415;23.415;23.415;23.415;23.415;32.781;0.0
27_0_10631_10652_6_2021.0;27;47;Varces-Allières-et-Risset Risset / Claix Val d'Allières;4.042;4.042;4.042;4.042;4.042;0.0;0.0
27_0_10743_10652_17_3704.0;27;47;Varces-Allières-et-Risset Risset / Claix Val d'Allières;44.448;44.448;44.448;44.448;44.448;29.632;0.0
27_1_10652_10631_6_2021.0;27;47;Varces-Allières-et-Risset Risset / Claix Val d'Allières;4.042;4.042;4.042;4.042;4.042;0.0;0.0
27_1_10652_10743_17_4225.0;27;47;Varces-Allières-et-Risset Risset / Claix Val d'Allières;54.925;54.925;54.925;54.925;54.925;33.8;0.0
28_0_10223_10631_16_4855.0;28;48;Claix Pont Rouge / Claix Cossey;29.13;29.13;29.13;29.13;29.13;29.13;0.0
28_1_10631_10223_16_4855.0;28;48;Claix Pont Rouge / Claix Cossey;29.13;29.13;29.13;29.13;29.13;29.13;0.0
29_0_10186_10176_13_3551.0;29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;0.0;0.0;0.0;0.0;0.0;3.551;7.102
29_0_10415_10176_12_3480.0;29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;20.88;20.88;20.88;20.88;20.88;0.0;0.0
29_0_10415_10626_9_2454.0;29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;17.178;17.178;17.178;17.178;17.178;14.724;12.27
29_1_10176_10186_14_4234.0;29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;0.0;0.0;0.0;0.0;0.0;4.234;8.468
29_1_10176_10415_13_4163.0;29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;24.978;24.978;24.978;24.978;24.978;0.0;0.0
29_1_10626_10415_10_3137.0;29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;18.822;18.822;18.822;18.822;18.822;18.822;15.685
29_1_10626_10556_11_5013.0;29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;5.013;5.013;5.013;5.013;5.013;0.0;0.0
30_0_10169_10243_11_2689.0;30;50;Sassenage Les Côtes / Fontaine La Poya;5.378;5.378;5.378;5.378;5.378;0.0;0.0
30_0_10403_10224_15_2478.0;30;50;Sassenage Les Côtes / Fontaine La Poya;12.39;12.39;12.39;12.39;12.39;19.824;0.0
30_0_10403_10243_16_2814.0;30;50;Sassenage Les Côtes / Fontaine La Poya;8.442;8.442;8.442;8.442;8.442;0.0;0.0
30_1_10224_10403_15_2478.0;30;50;Sassenage Les Côtes / Fontaine La Poya;17.346;17.346;17.346;17.346;17.346;22.302;0.0
30_1_10243_10403_16_2814.0;30;50;Sassenage Les Côtes / Fontaine La Poya;11.256;11.256;11.256;11.256;11.256;0.0;0.0
31_0_10271_10148_21_198.0;31;51;Veurey-Voroize Châtelard / Saint-Égrève Gare;1.782;1.782;1.782;1.782;1.782;1.584;0.0
31_0_10766_10148_8_0.0;31;51;Veurey-Voroize Châtelard / Saint-Égrève Gare;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31_1_10148_10271_21_0.0;31;51;Veurey-Voroize Châtelard / Saint-Égrève Gare;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31_1_10148_10766_8_0.0;31;51;Veurey-Voroize Châtelard / Saint-Égrève Gare;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32_0_10548_10150_11_3750.0;32;54;Saint-Égrève Pont de Vence / Grenoble Oxford;18.75;18.75;18.75;18.75;18.75;22.5;0.0
32_0_10548_10633_19_3750.0;32;54;Saint-Égrève Pont de Vence / Grenoble Oxford;30.0;30.0;30.0;30.0;30.0;26.25;0.0
