FROMNODE;TONODE;Dimanche_Scolaire;Dimanche_Vacances;Ferie;Jeudi_Scolaire;Lundi_Scolaire;Mardi_Scolaire;Mercredi_Scolaire;Samedi_Scolaire;Samedi_Vacances;Semaine_Vacances;Vendredi_Scolaire;NAME_x;LON_x;LAT_x;NAME_y;LON_y;LAT_y;ID
10136;10088.0;0;0;0;5;5;5;4;2;2;3;5;CENTRE COMMERCIAL;5.575827;46.67016;LONS GARE SNCF;5.5524235;46.66883;71
10186;10088.0;2;2;2;5;5;5;5;2;2;5;6;POSTE;5.565303;46.827465;LONS GARE SNCF;5.5524235;46.66883;72
10228;10088.0;0;0;0;1;1;1;1;1;1;1;1;PLACE DE VERDUN;5.5594416;46.67388;LONS GARE SNCF;5.5524235;46.66883;73
10243;10088.0;0;0;0;0;0;0;1;1;1;0;1;FAC DES SCIENCES;5.064015;47.31494;LONS GARE SNCF;5.5524235;46.66883;74
10018;10127.0;0;0;1;5;5;5;5;3;3;5;5;PLACE/POSTE;5.4362173;46.57475;RD1083;5.442894;46.582058;75
10201;10127.0;0;0;2;5;5;5;5;4;4;5;5;RD1083;5.4543915;46.594078;RD1083;5.442894;46.582058;76
10018;10230.0;0;0;0;1;1;1;1;0;0;1;1;PLACE/POSTE;5.4362173;46.57475;CHAMP DE FOIRE;5.3865986;46.494083;77
10212;10230.0;0;0;1;5;5;5;5;3;3;5;5;GOZ;5.367117;46.48121;CHAMP DE FOIRE;5.3865986;46.494083;78
10213;10230.0;0;0;0;1;1;1;1;0;0;0;1;COLLEGE;5.3894434;46.498825;CHAMP DE FOIRE;5.3865986;46.494083;79
10217;10230.0;0;0;2;4;4;4;4;4;4;5;4;BRETELLE RD1083;5.388059;46.516624;CHAMP DE FOIRE;5.3865986;46.494083;80
10019;10013.0;0;0;0;1;1;1;1;0;0;1;1;RUE DU VAL D'AMOUR;5.594162;47.01555;PLACE;5.582976;47.017235;81
10091;10013.0;0;0;0;3;3;3;2;0;0;1;3;LOYE (LA) PLACE;5.5580373;47.02637;PLACE;5.582976;47.017235;82
10019;10198.0;0;0;0;2;2;2;1;0;0;1;2;RUE DU VAL D'AMOUR;5.594162;47.01555;EGLISE;5.621882;46.98029;83
10129;10198.0;0;0;0;1;1;1;1;0;0;0;1;EGLISE;5.666316;46.99471;EGLISE;5.621882;46.98029;84
10199;10198.0;0;0;0;1;1;1;1;0;0;1;1;PONT;5.6196113;46.976936;EGLISE;5.621882;46.98029;85
10019;10203.0;0;0;0;1;1;1;1;0;0;0;1;RUE DU VAL D'AMOUR;5.594162;47.01555;VIEILLE LOYE (LA) MAIRIE;5.632191;47.04163;86
10020;10021.0;0;0;0;1;1;1;1;0;0;0;1;CHAMP DE FOIRE;5.456859;46.746128;COLLEGE;5.457362;46.7436;87
10208;10021.0;0;0;0;1;1;1;0;0;0;0;1;EGLISE;5.46436;46.736908;COLLEGE;5.457362;46.7436;88
10020;10150.0;0;0;2;4;4;4;2;0;0;2;4;CHAMP DE FOIRE;5.456859;46.746128;SALLE DES FETES;5.4478626;46.76204;89
10057;10150.0;0;0;2;3;3;3;3;0;0;2;3;LE VILLARNIER;5.446973;46.78739;SALLE DES FETES;5.4478626;46.76204;90
10020;10208.0;0;0;2;2;2;2;2;0;0;2;2;CHAMP DE FOIRE;5.456859;46.746128;EGLISE;5.46436;46.736908;91
10021;10208.0;0;0;0;1;1;1;1;0;0;0;1;COLLEGE;5.457362;46.7436;EGLISE;5.46436;46.736908;92
10078;10208.0;0;0;2;4;4;4;2;0;0;2;4;RUE DE LA GARE;5.4734416;46.71697;EGLISE;5.46436;46.736908;93
10021;10020.0;0;0;0;1;1;1;0;0;0;0;1;COLLEGE;5.457362;46.7436;CHAMP DE FOIRE;5.456859;46.746128;94
10150;10020.0;0;0;2;3;3;3;3;0;0;2;3;SALLE DES FETES;5.4478626;46.76204;CHAMP DE FOIRE;5.456859;46.746128;95
10208;10020.0;0;0;2;3;3;3;2;0;0;2;3;EGLISE;5.46436;46.736908;CHAMP DE FOIRE;5.456859;46.746128;96
10022;10030.0;0;0;1;2;2;2;2;1;1;1;2;FRONTIERE;6.1554627;46.545956;3593 RUE FRANCHE-COM;6.151112;46.54272;97
10028;10030.0;0;0;1;3;3;3;3;1;1;1;3;SKI VANDEL;6.145832;46.538883;3593 RUE FRANCHE-COM;6.151112;46.54272;98
10022;10236.0;0;0;1;1;1;1;3;1;1;0;1;FRONTIERE;6.1554627;46.545956;2982 RUE DU VIVIER;6.1059093;46.519302;99
10030;10236.0;0;0;0;1;1;1;0;0;0;0;1;3593 RUE FRANCHE-COM;6.151112;46.54272;2982 RUE DU VIVIER;6.1059093;46.519302;100
10023;10029.0;0;0;1;3;3;3;2;1;1;1;3;L'AUVERGNE;6.124892;46.52236;1132 RUE FRANCHE-COM;6.128807;46.525642;101
10026;10029.0;0;0;1;2;2;2;2;1;1;1;2;MEUNIERS;6.1332903;46.52917;1132 RUE FRANCHE-COM;6.128807;46.525642;102
10023;10156.0;0;0;1;2;2;2;2;1;1;1;2;L'AUVERGNE;6.124892;46.52236;ROUSSES (LES) LE GRAVIER VANDELLE;6.1040297;46.50471;103
10158;10156.0;0;0;1;3;3;3;3;1;1;1;3;ROUSSES (LES) LE NOIRMONT;6.0929914;46.4922;ROUSSES (LES) LE GRAVIER VANDELLE;6.1040297;46.50471;104
10023;10219.0;0;0;0;0;0;0;1;0;0;0;0;L'AUVERGNE;6.124892;46.52236;1232 RUE DU VIVIER;6.124508;46.531082;105
10024;10027.0;0;0;0;1;1;1;1;1;1;0;1;LE RENOUVEAU;6.1381745;46.539577;SALLE POLYVALENTE;6.1372476;46.537598;106
10026;10027.0;0;0;1;3;3;3;3;1;1;1;3;MEUNIERS;6.1332903;46.52917;SALLE POLYVALENTE;6.1372476;46.537598;107
10028;10027.0;0;0;1;1;1;1;1;0;0;1;1;SKI VANDEL;6.145832;46.538883;SALLE POLYVALENTE;6.1372476;46.537598;108
10024;10028.0;0;0;1;2;2;2;2;1;1;1;2;LE RENOUVEAU;6.1381745;46.539577;SKI VANDEL;6.145832;46.538883;109
10027;10028.0;0;0;0;1;1;1;1;0;0;0;1;SALLE POLYVALENTE;6.1372476;46.537598;SKI VANDEL;6.145832;46.538883;110
10030;10028.0;0;0;1;2;2;2;2;1;1;1;2;3593 RUE FRANCHE-COM;6.151112;46.54272;SKI VANDEL;6.145832;46.538883;111
10025;10026.0;0;0;1;0;0;0;2;1;1;0;0;LE VIVIER;6.1099668;46.52239;MEUNIERS;6.1332903;46.52917;112
10027;10026.0;0;0;1;2;2;2;2;1;1;1;2;SALLE POLYVALENTE;6.1372476;46.537598;MEUNIERS;6.1332903;46.52917;113
10029;10026.0;0;0;0;3;3;3;1;0;0;1;3;1132 RUE FRANCHE-COM;6.128807;46.525642;MEUNIERS;6.1332903;46.52917;114
10027;10024.0;0;0;1;2;2;2;2;1;1;1;2;SALLE POLYVALENTE;6.1372476;46.537598;LE RENOUVEAU;6.1381745;46.539577;115
10028;10024.0;0;0;0;1;1;1;1;1;1;0;1;SKI VANDEL;6.145832;46.538883;LE RENOUVEAU;6.1381745;46.539577;116
10029;10023.0;0;0;1;2;2;2;2;1;1;1;2;1132 RUE FRANCHE-COM;6.128807;46.525642;L'AUVERGNE;6.124892;46.52236;117
10156;10023.0;0;0;1;3;3;3;3;1;1;1;3;ROUSSES (LES) LE GRAVIER VANDELLE;6.1040297;46.50471;L'AUVERGNE;6.124892;46.52236;118
10029;10025.0;0;0;1;0;0;0;1;1;1;0;0;1132 RUE FRANCHE-COM;6.128807;46.525642;LE VIVIER;6.1099668;46.52239;119
10219;10025.0;0;0;0;0;0;0;1;0;0;0;0;1232 RUE DU VIVIER;6.124508;46.531082;LE VIVIER;6.1099668;46.52239;120
10030;10022.0;0;0;1;2;2;2;3;1;1;1;2;3593 RUE FRANCHE-COM;6.151112;46.54272;FRONTIERE;6.1554627;46.545956;121
10236;10022.0;0;0;0;1;1;1;1;1;1;0;1;2982 RUE DU VIVIER;6.1059093;46.519302;FRONTIERE;6.1554627;46.545956;122
10031;10052.0;0;0;0;1;2;1;2;1;1;1;2;CARREFOUR RD678;5.7301617;46.589153;CLAIRVAUX GENDARMERIE;5.747232;46.581055;123
10053;10052.0;0;0;0;2;3;2;2;1;1;2;3;CLAIRVAUX MAIRIE;5.750546;46.576077;CLAIRVAUX GENDARMERIE;5.747232;46.581055;124
10031;10134.0;0;0;0;2;3;2;2;1;1;2;3;CARREFOUR RD678;5.7301617;46.589153;RD678;5.704442;46.58666;125
10146;10134.0;0;0;0;1;2;1;2;1;1;1;2;PLACE;5.698253;46.58542;RD678;5.704442;46.58666;126
10032;10049.0;0;0;0;1;2;1;1;1;1;1;2;VILLAGE;5.8540807;46.600483;CHAUX DU DOMBIEF (LA) RD678;5.9033675;46.604916;127
10178;10049.0;0;0;0;1;2;1;1;1;1;1;2;RD678;5.929144;46.58016;CHAUX DU DOMBIEF (LA) RD678;5.9033675;46.604916;128
10032;10054.0;0;0;0;1;2;1;1;1;1;1;2;VILLAGE;5.8540807;46.600483;PLACE;5.7583323;46.581104;129
10053;10054.0;0;0;0;1;2;1;1;1;1;1;2;CLAIRVAUX MAIRIE;5.750546;46.576077;PLACE;5.7583323;46.581104;130
10032;10174.0;0;0;0;0;0;0;1;0;0;0;0;VILLAGE;5.8540807;46.600483;SAINT LAURENT EN GDX GARE SNCF;5.951636;46.57491;131
10053;10174.0;0;0;1;1;1;1;0;0;0;1;1;CLAIRVAUX MAIRIE;5.750546;46.576077;SAINT LAURENT EN GDX GARE SNCF;5.951636;46.57491;132
10175;10174.0;0;0;0;2;3;2;2;1;1;2;3;SAINT LAURENT EN GDX VILLE;5.955703;46.57613;SAINT LAURENT EN GDX GARE SNCF;5.951636;46.57491;133
10178;10174.0;0;0;0;1;2;1;1;1;1;1;2;RD678;5.929144;46.58016;SAINT LAURENT EN GDX GARE SNCF;5.951636;46.57491;134
10033;10050.0;0;0;0;3;3;3;2;0;0;0;3;COTE BELETTES;5.886891;46.91681;VAL D'HERY;5.890339;46.901413;135
10147;10050.0;0;0;0;3;3;3;2;0;0;0;3;MOUTAINE;5.8926935;46.898342;VAL D'HERY;5.890339;46.901413;136
10033;10179.0;0;0;0;3;3;3;2;0;0;0;3;COTE BELETTES;5.886891;46.91681;LES PRAILLES;5.88629;46.92121;137
10180;10179.0;0;0;0;2;2;2;0;0;0;0;2;CASINO;5.877439;46.93821;LES PRAILLES;5.88629;46.92121;138
10185;10179.0;0;0;0;1;1;1;2;0;0;0;1;PLACE STE MARIE;5.886987;46.9291;LES PRAILLES;5.88629;46.92121;139
10033;10185.0;0;0;0;0;0;0;1;0;0;2;0;COTE BELETTES;5.886891;46.91681;PLACE STE MARIE;5.886987;46.9291;140
10179;10185.0;0;0;0;3;3;3;2;0;0;0;3;LES PRAILLES;5.88629;46.92121;PLACE STE MARIE;5.886987;46.9291;141
10184;10185.0;0;0;0;1;1;1;3;0;0;2;1;PLACE AUBAREDE;5.8785586;46.932926;PLACE STE MARIE;5.886987;46.9291;142
10034;10074.0;0;0;1;5;5;5;5;3;3;5;5;RD1083;5.488455;46.625732;CFA;5.5018983;46.642166;143
10098;10074.0;0;0;2;5;5;5;5;4;4;5;5;MESSIA/SORNE Z.I.;5.51754;46.659897;CFA;5.5018983;46.642166;144
10200;10074.0;0;0;0;1;1;1;1;0;0;0;1;PAISIA PASS NIVEAU;5.4594746;46.59858;CFA;5.5018983;46.642166;145
10034;10161.0;0;0;2;5;5;5;5;4;4;5;5;RD1083;5.488455;46.625732;RD1083;5.4734783;46.609947;146
10209;10161.0;0;0;1;5;5;5;5;3;3;5;5;VINCELLES ROUTE DE BONNAUD;5.466851;46.60456;RD1083;5.4734783;46.609947;147
10035;10011.0;0;0;2;3;3;3;2;0;0;2;3;(LA) GRANDE RU;5.4424973;46.9261;ASNANS CHEMIN DE LA CROZE;5.414164;46.94666;148
10047;10011.0;0;0;2;2;2;2;2;0;0;2;2;FRAMBOISY;5.406316;46.958874;ASNANS CHEMIN DE LA CROZE;5.414164;46.94666;149
10035;10142.0;0;0;2;2;2;2;2;0;0;2;2;(LA) GRANDE RU;5.4424973;46.9261;CALVAIRE;5.4521728;46.918335;150
10072;10142.0;0;0;2;3;3;3;2;0;0;2;3;ESSARDS TAIGNEVAUX (LES) MAIRIE;5.418761;46.911053;CALVAIRE;5.4521728;46.918335;151
10036;10038.0;0;0;0;2;3;2;1;0;0;0;2;COLLEGE LOUATAUX;5.926755;46.73296;LYCEE P. E. VICTOR;5.922821;46.74356;152
10039;10038.0;0;0;0;6;6;6;5;0;0;0;6;PLACE PROST CHALET;5.9091396;46.746956;LYCEE P. E. VICTOR;5.922821;46.74356;153
10037;10062.0;0;0;0;3;3;3;3;2;2;3;3;GARE S.N.C.F.;5.909997;46.748882;MAIRIE;5.8138304;46.751118;154
10040;10062.0;0;0;0;2;2;2;1;0;0;0;2;OPPIDUM;5.9105763;46.74709;MAIRIE;5.8138304;46.751118;155
10061;10062.0;0;0;0;0;1;0;0;0;0;0;0;CRANCOT VILLAGE;5.660274;46.68777;MAIRIE;5.8138304;46.751118;156
10148;10062.0;0;0;0;5;5;5;3;2;2;3;5;ANC.PONT SNCF;5.7773438;46.72431;MAIRIE;5.8138304;46.751118;157
10038;10008.0;0;0;0;1;1;1;1;0;0;0;1;LYCEE P. E. VICTOR;5.922821;46.74356;ABRIBUS;5.932593;46.85263;158
10039;10008.0;0;0;0;0;0;0;0;0;0;2;0;PLACE PROST CHALET;5.9091396;46.746956;ABRIBUS;5.932593;46.85263;159
10040;10008.0;0;0;0;1;1;1;1;0;0;0;1;OPPIDUM;5.9105763;46.74709;ABRIBUS;5.932593;46.85263;160
10202;10008.0;0;0;0;1;1;1;1;0;0;0;1;MAIRIE;5.9159174;46.815342;ABRIBUS;5.932593;46.85263;161
10229;10008.0;0;0;0;2;2;2;2;0;0;2;2;MAIRIE;5.899922;46.87087;ABRIBUS;5.932593;46.85263;162
10038;10037.0;0;0;0;1;1;1;1;0;0;0;1;LYCEE P. E. VICTOR;5.922821;46.74356;GARE S.N.C.F.;5.909997;46.748882;163
10062;10037.0;0;0;0;4;4;4;2;2;2;3;4;MAIRIE;5.8138304;46.751118;GARE S.N.C.F.;5.909997;46.748882;164
10038;10040.0;0;0;0;3;3;3;2;0;0;0;3;LYCEE P. E. VICTOR;5.922821;46.74356;OPPIDUM;5.9105763;46.74709;165
10038;10132.0;0;0;0;1;1;1;1;0;0;0;1;LYCEE P. E. VICTOR;5.922821;46.74356;PASQUIER (LE) ABRIBUS;5.904264;46.799183;166
10039;10036.0;0;0;0;0;1;0;0;0;0;0;0;PLACE PROST CHALET;5.9091396;46.746956;COLLEGE LOUATAUX;5.926755;46.73296;167
10041;10231.0;0;0;0;1;1;1;1;0;0;0;1;ECOLE;5.377551;46.802425;RD33/D1;5.461248;46.82761;168
10044;10231.0;0;0;2;3;3;3;3;0;0;2;3;ECOLE;5.4783463;46.846664;RD33/D1;5.461248;46.82761;169
10056;10231.0;0;0;2;3;3;3;1;0;0;2;3;RUE DES COMBES;5.451626;46.80262;RD33/D1;5.461248;46.82761;170
10042;10099.0;0;0;1;3;4;3;3;3;3;3;4;MAIRIE;5.7133946;46.465836;MAIRIE ECOLE;5.7266183;46.498833;171
10060;10099.0;0;0;4;4;6;4;2;3;3;3;4;ABRIBUS;5.7045813;46.510284;MAIRIE ECOLE;5.7266183;46.498833;172
10042;10101.0;0;0;0;0;1;0;0;0;0;0;0;MAIRIE;5.7133946;46.465836;CITE SCOLAIRE;5.7226353;46.436253;173
10042;10106.0;0;0;4;4;5;4;2;3;3;3;4;MAIRIE;5.7133946;46.465836;MOIRANS-MGNE - FRANCHE COMTE;5.722672;46.43828;174
10043;10044.0;0;0;2;2;2;2;2;0;0;2;2;CHASSAGNE (LA) RD468;5.450189;46.86356;ECOLE;5.4783463;46.846664;175
10231;10044.0;0;0;2;4;4;4;2;0;0;2;4;RD33/D1;5.461248;46.82761;ECOLE;5.4783463;46.846664;176
