id_course;id_course_num;id_ligne_num;id_service_num;sous_ligne;direction_id;id_ap_num_debut;id_ag_num_debut;h_dep_num;heure_depart;id_ap_num_terminus;id_ag_num_terminus;heure_arrive;h_arr_num;nb_arrets;DIST_Vol_Oiseau
1009261-1-2;8;7;12;7_0_10182_10038_15_25866.0;0;100203;10182;0.5243055555555556;12:35;100043;10038;13:19;0.5555555555555555;15;25866.0
466-1-4;9;7;12;7_0_10183_10039_8_24025.0;0;100207;10183;0.7152777777777778;17:10;100044;10039;17:37;0.7347222222222223;8;24025.0
468-1-1;10;7;12;7_1_10036_10183_13_26245.0;1;100041;10036;0.5069444444444444;12:09;100207;10183;12:49;0.5347222222222222;13;26245.0
470-1-2;11;7;12;7_1_10039_10183_9_25400.0;1;100044;10039;0.7347222222222223;17:37;100207;10183;18:06;0.7541666666666667;9;25400.0
1009260-1-1;6;7;13;7_0_10183_10038_11_23860.0;0;100207;10183;0.28125;06:45;100043;10038;07:30;0.3125;11;23860.0
1010092-1-1;7;7;13;7_1_10039_10183_14_26560.0;1;100044;10039;0.3076388888888889;07:23;100204;10183;08:16;0.3451388888888889;14;26560.0
466-1-1;17;7;14;7_0_10183_10039_8_24025.0;0;100207;10183;0.28680555555555554;06:52;100044;10039;07:21;0.30625;8;24025.0
466-1-3;18;7;14;7_0_10183_10039_8_24025.0;0;100207;10183;0.7152777777777778;17:10;100044;10039;17:37;0.7347222222222223;8;24025.0
469-1-1;19;7;14;7_1_10039_10183_8_24025.0;1;100044;10039;0.30625;07:21;100207;10183;07:48;0.32569444444444445;8;24025.0
469-1-3;20;7;14;7_1_10039_10183_8_24025.0;1;100044;10039;0.7347222222222223;17:37;100207;10183;18:06;0.7541666666666667;8;24025.0
471-1-1;21;8;5;8_0_10121_10220_9_9679.0;0;100135;10121;0.3194444444444445;07:40;100246;10220;08:07;0.33888888888888885;9;9679.0
473-1-1;22;8;5;8_0_10120_10220_7_8102.0;0;100134;10120;0.4930555555555555;11:49;100246;10220;12:03;0.5027777777777778;7;8102.0
475-1-1;23;8;5;8_1_10220_10120_7_8102.0;1;100246;10220;0.2604166666666667;06:15;100134;10120;06:30;0.2708333333333333;7;8102.0
475-1-2;25;8;5;8_1_10220_10120_7_8102.0;1;100246;10220;0.2881944444444444;06:54;100134;10120;07:09;0.2986111111111111;7;8102.0
475-1-3;26;8;5;8_1_10220_10120_7_8102.0;1;100246;10220;0.34305555555555556;08:14;100134;10120;08:28;0.3534722222222222;7;8102.0
475-1-8;27;8;5;8_1_10220_10120_7_8102.0;1;100246;10220;0.4583333333333333;11:00;100134;10120;11:15;0.46875;7;8102.0
473-1-3;28;8;7;8_0_10120_10220_7_8102.0;0;100134;10120;0.798611111111111;19:09;100246;10220;19:25;0.8090277777777778;7;8102.0
473-1-4;29;8;7;8_0_10120_10220_7_8102.0;0;100134;10120;0.7604166666666666;18:15;100246;10220;18:33;0.7729166666666667;7;8102.0
1009266-1-1;30;8;11;8_0_10120_10220_4_8485.0;0;100134;10120;0.7013888888888888;16:49;100246;10220;17:10;0.7152777777777778;4;8485.0
1010098-1-2;31;8;11;8_1_10220_10121_9_9679.0;1;100246;10220;0.7159722222222222;17:11;100135;10121;17:32;0.7305555555555556;9;9679.0
1010099-1-1;32;8;11;8_1_10220_10120_8_8821.0;1;100246;10220;0.7527777777777778;18:03;100134;10120;18:19;0.7638888888888888;8;8821.0
1010098-1-1;38;8;12;8_1_10220_10121_9_9679.0;1;100246;10220;0.5236111111111111;12:33;100135;10121;12:54;0.5381944444444444;9;9679.0
474-1-2;33;8;15;8_0_10120_10182_7_7431.0;0;100134;10120;0.3368055555555555;08:04;100203;10182;08:18;0.3458333333333333;7;7431.0
475-1-4;34;8;16;8_1_10220_10120_7_8102.0;1;100246;10220;0.7736111111111111;18:33;100134;10120;18:48;0.7840277777777778;7;8102.0
475-1-5;36;8;17;8_1_10220_10120_7_8102.0;1;100246;10220;0.673611111111111;16:09;100134;10120;16:25;0.6840277777777778;7;8102.0
475-1-9;37;8;18;8_1_10220_10120_7_8102.0;1;100246;10220;0.7736111111111111;18:33;100134;10120;18:48;0.7840277777777778;7;8102.0
476-1-4;45;9;9;9_0_10037_10088_8_31432.0;0;100042;10037;0.5555555555555555;13:19;100098;10088;13:57;0.5819444444444444;8;31432.0
478-1-2;47;9;9;9_1_10088_10037_8_31198.0;1;100098;10088;0.5173611111111112;12:25;100042;10037;13:09;0.548611111111111;8;31198.0
1009271-1-1;50;9;11;9_0_10036_10088_10_33714.0;0;100041;10036;0.7152777777777778;17:10;100098;10088;18:04;0.7534722222222222;10;33714.0
478-1-4;51;9;11;9_1_10088_10037_8_31198.0;1;100098;10088;0.6006944444444445;14:25;100042;10037;15:09;0.6319444444444444;8;31198.0
478-1-5;52;9;11;9_1_10088_10037_8_31198.0;1;100098;10088;0.7638888888888888;18:19;100042;10037;19:04;0.7951388888888888;8;31198.0
1009268-1-1;39;9;13;9_0_10037_10088_7_30043.0;0;100042;10037;0.28541666666666665;06:50;100098;10088;07:27;0.3104166666666667;7;30043.0
1009269-1-1;40;9;13;9_0_10038_10088_9_32574.0;0;100043;10038;0.3229166666666667;07:45;100098;10088;08:35;0.35833333333333334;9;32574.0
1010100-1-1;41;9;13;9_1_10088_10038_9_32252.0;1;100098;10088;0.2847222222222222;06:49;100043;10038;07:40;0.3194444444444445;9;32252.0
476-1-5;48;9;14;9_0_10037_10088_8_31432.0;0;100042;10037;0.6944444444444444;16:39;100098;10088;17:21;0.7229166666666667;8;31432.0
478-1-6;49;9;14;9_1_10088_10037_8_31198.0;1;100098;10088;0.2847222222222222;06:49;100042;10037;07:35;0.31597222222222227;8;31198.0
1010102-1-1;56;9;15;9_1_10088_10038_6_32702.0;1;100098;10088;0.3368055555555555;08:04;100043;10038;08:54;0.37152777777777773;6;32702.0
476-1-2;42;9;19;9_0_10037_10088_8_31432.0;0;100042;10037;0.3333333333333333;08:00;100098;10088;08:37;0.3597222222222222;8;31432.0
476-1-3;43;9;20;9_0_10037_10088_8_31432.0;0;100042;10037;0.3194444444444445;07:40;100098;10088;08:20;0.34791666666666665;8;31432.0
478-1-8;44;9;20;9_1_10088_10037_8_31198.0;1;100098;10088;0.7291666666666667;17:30;100042;10037;18:18;0.7631944444444444;8;31198.0
1009272-1-1;53;9;21;9_0_10038_10088_9_32498.0;0;100043;10038;0.7479166666666667;17:56;100098;10088;18:41;0.7784722222222222;9;32498.0
1009272-1-2;54;9;22;9_0_10038_10088_9_32498.0;0;100043;10038;0.7569444444444444;18:09;100098;10088;18:53;0.7875;9;32498.0
478-1-1;55;9;23;9_1_10088_10037_8_31198.0;1;100098;10088;0.7118055555555556;17:05;100042;10037;17:50;0.7430555555555556;8;31198.0
1010103-1-2;67;10;11;10_1_10085_10044_14_24693.0;1;100095;10085;0.673611111111111;16:09;100049;10044;17:16;0.7201388888888889;14;24693.0
1010107-1-1;69;10;11;10_1_10085_10046_22_43886.0;1;100095;10085;0.7222222222222222;17:19;100052;10046;18:33;0.7729166666666667;22;43886.0
1009273-1-1;58;10;13;10_0_10046_10088_22_43449.0;0;100052;10046;0.26875;06:26;100098;10088;07:31;0.3138888888888889;22;43449.0
1013893-1-1;59;10;13;10_0_10044_10088_14_24256.0;0;100248;10044;0.325;07:48;100098;10088;08:32;0.35624999999999996;14;24256.0
1009275-1-1;60;10;13;10_0_10046_10088_21_43448.0;0;100052;10046;0.5236111111111111;12:33;100098;10088;13:48;0.5756944444444444;21;43448.0
1010104-1-2;61;10;13;10_1_10085_10046_23_53608.0;1;100095;10085;0.7604166666666666;18:15;100052;10046;19:30;0.8125;23;53608.0
1010106-1-2;62;10;13;10_1_10085_10046_22_43886.0;1;100095;10085;0.5104166666666666;12:15;100052;10046;13:22;0.5576388888888889;22;43886.0
1009276-1-1;63;10;18;10_0_10046_10088_21_43448.0;0;100052;10046;0.26875;06:26;100098;10088;07:42;0.32083333333333336;21;43448.0
1009277-1-1;64;10;18;10_0_10046_10090_22_45503.0;0;100052;10046;0.5236111111111111;12:33;100100;10090;13:56;0.5812499999999999;22;45503.0
1010105-1-1;65;10;18;10_1_10090_10046_23_45471.0;1;100100;10090;0.71875;17:15;100052;10046;18:35;0.7743055555555556;23;45471.0
1010106-1-3;66;10;18;10_1_10085_10046_22_43886.0;1;100095;10085;0.5069444444444444;12:09;100052;10046;13:17;0.5541666666666666;22;43886.0
1010108-1-1;80;11;11;11_1_10067_10216_14_35879.0;1;100076;10067;0.47916666666666663;11:30;100242;10216;12:45;0.53125;14;35879.0
1010109-1-1;81;11;11;11_1_10067_10216_13_35821.0;1;100076;10067;0.7569444444444444;18:09;100242;10216;19:17;0.8041666666666666;13;35821.0
1010108-1-4;82;11;12;11_1_10067_10216_14_35879.0;1;100076;10067;0.5104166666666666;12:15;100242;10216;13:30;0.5625;14;35879.0
1009278-1-1;70;11;13;11_0_10216_10069_17_40552.0;0;100242;10216;0.2673611111111111;06:24;100078;10069;08:04;0.3368055555555555;17;40552.0
479-1-1;71;11;13;11_0_10216_10067_13_35821.0;0;100242;10216;0.5520833333333333;13:14;100076;10067;14:25;0.6006944444444445;13;35821.0
1010108-1-5;72;11;13;11_1_10067_10216_14_35879.0;1;100076;10067;0.7222222222222222;17:19;100242;10216;18:33;0.7729166666666667;14;35879.0
480-1-2;75;11;14;11_0_10216_10067_14_35879.0;0;100242;10216;0.2791666666666667;06:42;100076;10067;08:00;0.3333333333333333;14;35879.0
480-1-1;76;11;14;11_0_10216_10067_14_35879.0;0;100242;10216;0.5520833333333333;13:14;100076;10067;14:25;0.6006944444444445;14;35879.0
1010108-1-2;77;11;14;11_1_10067_10216_14_35879.0;1;100076;10067;0.47916666666666663;11:30;100242;10216;12:45;0.53125;14;35879.0
1010108-1-3;78;11;14;11_1_10067_10216_14_35879.0;1;100076;10067;0.7222222222222222;17:19;100242;10216;18:33;0.7729166666666667;14;35879.0
1009280-1-1;73;11;18;11_0_10216_10067_14_35879.0;0;100242;10216;0.5451388888888888;13:04;100076;10067;14:15;0.59375;14;35879.0
1009280-1-2;74;11;18;11_0_10216_10067_14_35879.0;0;100242;10216;0.2791666666666667;06:42;100076;10067;08:00;0.3333333333333333;14;35879.0
482-1-2;88;12;11;12_1_10069_10145_15_40050.0;1;100078;10069;0.7465277777777778;17:55;100161;10145;19:15;0.8027777777777777;15;40050.0
483-1-3;89;12;11;12_1_10067_10145_14_37964.0;1;100076;10067;0.7152777777777778;17:10;100161;10145;18:15;0.7611111111111111;14;37964.0
482-1-1;86;12;12;12_1_10069_10145_15_40050.0;1;100078;10069;0.5104166666666666;12:15;100161;10145;13:26;0.5597222222222222;15;40050.0
483-1-1;87;12;12;12_1_10067_10145_14_37964.0;1;100076;10067;0.7152777777777778;17:10;100161;10145;18:15;0.7611111111111111;14;37964.0
481-1-1;83;12;13;12_0_10144_10067_14_36378.0;0;100160;10144;0.2763888888888889;06:38;100076;10067;07:40;0.3194444444444445;14;36378.0
481-1-2;84;12;14;12_0_10144_10067_14_36378.0;0;100160;10144;0.29027777777777775;06:57;100076;10067;08:00;0.3333333333333333;14;36378.0
483-1-2;85;12;14;12_1_10067_10145_14_37964.0;1;100076;10067;0.7152777777777778;17:10;100161;10145;18:15;0.7611111111111111;14;37964.0
1009235-1-1;110;13;2;13_0_10172_10003_13_18642.0;0;100193;10172;0.5034722222222222;12:04;100003;10003;13:00;0.5416666666666666;13;18642.0
1010073-1-1;111;13;2;13_1_10003_10172_15_18697.0;1;100003;10003;0.35416666666666663;08:30;100193;10172;09:30;0.3958333333333333;15;18697.0
1009237-1-2;118;13;11;13_0_10167_10075_13_14117.0;0;100187;10167;0.7534722222222222;18:04;100085;10075;18:49;0.7847222222222222;13;14117.0
