id_ap;stop_lat;stop_lon;stop_name;location_type;id_ag;id_ag_num;id_ap_num
200706;46.63521;5.605158;VILLAGE;0;151;10151;100169
200621;46.489487;6.069668;ROUSSES (LES) COLLEGE;0;152;10152;100170
200622;46.49446;6.0357337;ROUSSES (LES) GOULAND;0;153;10153;100171
200623;46.46354;6.072652;ROUSSES (LES) LA CURE;0;154;10154;100172
200965;46.463562;6.0625987;ROUSSES (LES) LA CURE DOUANE;0;155;10155;100173
200625;46.50471;6.1040297;ROUSSES (LES) LE GRAVIER VANDELLE;0;156;10156;100174
200626;46.499718;6.0996485;ROUSSES (LES) LE GRAVIER LACROIX;0;157;10157;100175
200627;46.4922;6.0929914;ROUSSES (LES) LE NOIRMONT;0;158;10158;100176
200628;46.482964;6.0610337;ROUSSES (LES) SYNDIC D'INITIATIVE;0;159;10159;100177
200885;46.87122;5.4299192;PLACE DE LA MAIRIE;0;160;10160;100178
200544;46.610027;5.47333;RD1083;0;161;10161;100179
200562;46.609863;5.473626;RUE PRINCIPALE;0;161;10161;100180
200547;46.434704;5.335105;HOTEL DE LA GARE;0;162;10162;100181
200575;46.43477;5.335377;AVENUE DE LA GARE;0;162;10162;100182
200548;46.43775;5.33425;ZI;0;163;10163;100183
200594;46.386814;5.8663707;CATHEDRALE;0;164;10164;100184
200651;46.380337;5.823611;AIGLON;0;165;10165;100185
200595;46.38563;5.86235;FAUBOURG ECOLE;0;166;10166;100186
200596;46.38072;5.869272;LYCEE PRE ST SAUVEUR;0;167;10167;100187
200597;46.38697;5.8653693;MUSEE PIPES;0;164;10164;100188
200652;46.384636;5.8637066;PONT CIMETIERE;0;168;10168;100189
200598;46.377205;5.872823;ROCHEFORT;0;169;10169;100190
200653;46.38093;5.857228;RUE CARNOT;0;170;10170;100191
200599;46.383785;5.8703103;SAINT HUBERT;0;171;10171;100192
200600;46.389862;5.860909;GARE SNCF;0;172;10172;100193
200601;46.391357;5.864299;VILLE;0;173;10173;100194
200707;46.57491;5.951636;SAINT LAURENT EN GDX GARE SNCF;0;174;10174;100195
200708;46.57613;5.955703;SAINT LAURENT EN GDX VILLE;0;175;10175;100196
200654;46.394726;5.79459;SAINT LUPICIN GERTEM;0;176;10176;100197
200655;46.397835;5.793338;SAINT LUPICIN PLACE MAIRIE;0;177;10177;100198
200712;46.58016;5.929144;RD678;0;178;10178;100199
200815;46.92121;5.88629;LES PRAILLES;0;179;10179;100200
200816;46.93821;5.877439;CASINO;0;180;10180;100201
200830;46.94931;5.872699;SALINS GARE SNCF;0;181;10181;100202
200818;46.949078;5.8829007;LYCEE;0;182;10182;100203
200819;46.947285;5.8774076;OLIVET;0;183;10183;100204
200820;46.932926;5.8785586;PLACE AUBAREDE;0;184;10184;100205
200821;46.9291;5.886987;PLACE STE MARIE;0;185;10185;100206
200822;46.94712;5.878055;ANCIENNE GARE;0;183;10183;100207
200492;46.827465;5.565303;POSTE;0;186;10186;100208
200602;46.378986;5.9254217;SEPTMONCEL BELLECOMBE;0;187;10187;100209
200603;46.386856;5.9395747;SEPTMONCEL CLAVIERES;0;188;10188;100210
200604;46.361153;5.909153;SEPTMONCEL L'EVALIDE;0;189;10189;100211
200605;46.362564;5.9059277;SEPTMONCEL MONTEPILE;0;190;10190;100212
200606;46.371246;5.914351;SEPTMONCEL PLACE;0;191;10191;100213
200794;46.991436;5.558586;RN 63;0;192;10192;100214
200795;46.99435;5.5507483;POSTE;0;193;10193;100215
200656;46.526665;5.661147;TOUR DU MEIX (LA) ECOLE-MAIRIE;0;194;10194;100216
200657;46.52668;5.6567745;TOUR DU MEIX (LA) RD470;0;195;10195;100217
200953;46.859955;5.683942;VILLAGE PARKING;0;196;10196;100218
200796;46.92231;5.7022843;CARF. RD 469;0;197;10197;100219
200797;46.98029;5.621882;EGLISE;0;198;10198;100220
200798;46.976936;5.6196113;PONT;0;199;10199;100221
200549;46.598404;5.4591413;PAISIA PASS NIVEAU;0;200;10200;100222
200564;46.598755;5.459808;PAISIA RD1083;0;200;10200;100223
200550;46.59388;5.454064;RD1083;0;201;10201;100224
200565;46.59428;5.4547186;RUE DU 19/03/1962;0;201;10201;100225
200823;46.815342;5.9159174;MAIRIE;0;202;10202;100226
200799;47.04163;5.632191;VIEILLE LOYE (LA) MAIRIE;0;203;10203;100227
200607;46.37148;5.8746862;VILLARD ST SAUVEUR L'ESSARD;0;204;10204;100228
200608;46.367664;5.8823867;VILLARD ST SAUVEUR MONTBRILLANT;0;205;10205;100229
200658;46.415447;5.730666;MAIRIE;0;206;10206;100230
200659;46.415253;5.734903;ECOLE;0;207;10207;100231
200886;46.736843;5.464433;EGLISE;0;208;10208;100232
200893;46.736977;5.4642873;PL DE LA RESISTANCE;0;208;10208;100233
200551;46.604565;5.4667006;VINCELLES ROUTE DE BONNAUD;0;209;10209;100234
200563;46.604553;5.467002;VINCELLES  RD1083;0;209;10209;100235
200931;46.890953;5.302698;VILLAGE;0;210;10210;100236
200552;46.481995;5.3656588;BROUCHY;0;211;10211;100237
200572;46.48121;5.367117;GOZ;0;212;10212;100238
200553;46.498825;5.3894434;COLLEGE;0;213;10213;100239
200554;46.46944;5.359392;ROND POINT;0;214;10214;100240
200573;46.46839;5.3593626;LE BOURG;0;215;10215;100241
200933;46.88367;5.267268;CHATEAU D'EAU;0;216;10216;100242
200555;46.516624;5.388059;BRETELLE RD1083;0;217;10217;100243
200571;46.51714;5.389505;GARAGE;0;218;10218;100244
200966;46.531082;6.124508;1232 RUE DU VIVIER;0;219;10219;100245
200831;46.93718;5.8772883;SALINES;0;220;10220;100246
200493;46.92238;5.515668;RD 475;0;221;10221;100247
200888;46.846523;5.4790053;ATELIER COMMUNAL;0;44;10044;100248
200556;46.21463;5.2429495;AV BAD KREUZNACH;0;222;10222;100249
200518;47.023457;5.494643;RD 905 / PHARMACIE;0;223;10223;100250
200576;46.437756;5.3344417;PARKING BOLARD;0;163;10163;100251
200577;46.437473;5.343398;GENDARMERIE;0;224;10224;100252
200582;46.345837;5.320695;EGLISE;0;7;10007;100253
200583;46.3322;5.314566;MOULIN DES PONTS;0;225;10225;100254
200584;46.21531;5.243946;ALIMENTEC TUB;0;226;10226;100255
200585;46.53967;5.398222;BRETELLE RD1083;0;227;10227;100256
200714;46.67388;5.5594416;PLACE DE VERDUN;0;228;10228;100257
200824;46.87087;5.899922;MAIRIE;0;229;10229;100258
200586;46.494278;5.386807;CHAMP DE FOIRE;0;230;10230;100259
200587;46.49389;5.3863897;CHEMIN DE RONDE;0;230;10230;100260
200894;46.82761;5.461248;RD33/D1;0;231;10231;100261
200662;46.381042;5.8565607;CITE CHABOD;0;170;10170;100262
200954;46.97222;5.6044445;RTE  POLIGNY;0;232;10232;100263
200588;46.207542;5.2279296;CARRE AMIOT;0;233;10233;100264
200832;46.95945;5.8333273;BARGES;0;234;10234;100265
200663;46.5197;5.6712313;TOUR-DU-MEIX (LA) - SURCHAUFFANT;0;235;10235;100266
200629;46.519302;6.1059093;2982 RUE DU VIVIER;0;236;10236;100267
200664;46.381027;5.8300257;ROUTE DE LYON;0;237;10237;100268
200845;46.693024;5.596601;MONTS;0;238;10238;100269
200956;46.1998;5.2259946;LABALME;0;239;10239;100270
200959;47.326794;5.0441923;REPUBLIQUE;0;240;10240;100271
200962;46.992146;5.557543;MIGAILLE;0;241;10241;100272
200963;47.315727;5.0647526;FAC DES SCIENCES;0;242;10242;100273
200964;47.31494;5.064015;FAC DES SCIENCES;0;243;10243;100274
