id_ag;id_ag_num;stop_name;stop_lat;stop_lon
78;10078;RUE DE LA GARE;46.71697;5.4734416
79;10079;VILLAGE;46.710083;5.4676943
8;10008;ABRIBUS;46.85263;5.932593
80;10080;LAVANS-ST-CLAUDE BOURG DESSUS;46.38545;5.779921
81;10081;LAVANS-ST-CLAUDE EGLISE;46.384083;5.7818594
82;10082;LONGWY EGLISE;46.95822;5.372115
83;10083;LONGWY HOTELANS RD13;46.94889;5.360749
84;10084;LONS AVENUE JEAN MOULIN;46.673122;5.558232
85;10085;LONS AVENUE DE LA MARSEILLAISE;46.6725;5.5554934
86;10086;LONS AVENUE THUREL;46.67277;5.553163
87;10087;LONS COLLEGE BRIAND;46.669926;5.551513
88;10088;LONS GARE SNCF;46.66883;5.5524235
89;10089;LONS LYCEE MONTCIEL;46.672802;5.5416427
9;10009;TOURISME;46.91398;5.757661
90;10090;LONS PISCINE;46.6846;5.5664787
91;10091;LOYE (LA) PLACE;47.02637;5.5580373
92;10092;RD470;46.579826;5.6287026
93;10093;VILLAGE;46.574986;5.639519
94;10094;MOLAMBOZ;46.931664;5.677891
95;10095;CARF LE SORBIER;46.566044;5.4167595
96;10096;THURON;46.591763;5.679614
97;10097;MESSIA/SORNE VILLAGE;46.663094;5.522211
98;10098;MESSIA/SORNE Z.I.;46.659897;5.51754
99;10099;MAIRIE ECOLE;46.498833;5.7266183
